source,target,value
AE,Unreported,1
AR,Unreported,1
AT,Unreported,1
BE,Unreported,1418
CL,Unreported,67.5
CN,Unreported,392582.729
CZ,Unreported,10
DE,Unreported,8036.0523
DK,Unreported,1066
DO,Unreported,180
ES,Unreported,9
FI,Unreported,1.76
FR,Unreported,78.1301
GB,Unreported,58
GG,Unreported,1
HK,Unreported,2807.991
ID,Unreported,5
IE,Unreported,1
IN,Unreported,6500
IT,Unreported,705
JP,Unreported,42237.4
MG,Unreported,6
MT,Unreported,33800
MY,Unreported,12081
NL,Unreported,51478
PE,Unreported,1890.15
PT,Unreported,1
SE,Unreported,28
SG,Unreported,8
US,Unreported,50295
ZW,Unreported,1
DE,Actinopteri,4
HK,Actinopteri,1
ID,Actinopteri,131634
MY,Actinopteri,98822
SG,Actinopteri,17193
HK,Amphibia,1
US,Amphibia,2102
AE,Aves,6650
AM,Aves,4
AR,Aves,525
AT,Aves,608
BE,Aves,292
BG,Aves,2
BH,Aves,9
BS,Aves,2
CN,Aves,9
CZ,Aves,515
DE,Aves,801
DK,Aves,196
DO,Aves,1
ES,Aves,2085
FR,Aves,118
GB,Aves,2130
GE,Aves,2
HU,Aves,35
IE,Aves,57
IT,Aves,37
JE,Aves,18
JP,Aves,14
KW,Aves,323
KZ,Aves,24
LV,Aves,16
MA,Aves,6383
MC,Aves,2
MM,Aves,10
NL,Aves,791
NO,Aves,93
NZ,Aves,17
OM,Aves,1
PE,Aves,1223
PH,Aves,154
PL,Aves,1
PT,Aves,72
QA,Aves,41
RS,Aves,73
SE,Aves,1
SG,Aves,274
SI,Aves,20
SK,Aves,58
US,Aves,574
UZ,Aves,435
DE,Bivalvia,1
ID,Coelacanthi,2
GB,Elasmobranchii,3
US,Elasmobranchii,1
AE,Mammalia,565
AM,Mammalia,6
AR,Mammalia,117
AT,Mammalia,136
BE,Mammalia,359.678
BH,Mammalia,1
BS,Mammalia,4
BY,Mammalia,3
CI,Mammalia,1291
CL,Mammalia,4
CN,Mammalia,103
CU,Mammalia,2929.345
CV,Mammalia,11
CZ,Mammalia,80
DE,Mammalia,372.264
DK,Mammalia,118.54
EE,Mammalia,1
ES,Mammalia,266
FI,Mammalia,6
FK,Mammalia,1
FR,Mammalia,1486.364
GB,Mammalia,5094.101
GE,Mammalia,7
GG,Mammalia,38
GL,Mammalia,1323
GR,Mammalia,2
HK,Mammalia,12
HU,Mammalia,32
ID,Mammalia,1985.6
IE,Mammalia,114
IN,Mammalia,5
IQ,Mammalia,1
IT,Mammalia,262.1
JE,Mammalia,6
JP,Mammalia,385.4
KE,Mammalia,59.47
KH,Mammalia,2599
KW,Mammalia,4
KZ,Mammalia,20
LT,Mammalia,4
MA,Mammalia,6
MC,Mammalia,6
MG,Mammalia,1052.55
MM,Mammalia,1790
MN,Mammalia,7
MY,Mammalia,114
NL,Mammalia,74.336
NO,Mammalia,201562
NZ,Mammalia,359
OM,Mammalia,329
PE,Mammalia,83
PH,Mammalia,37
PK,Mammalia,6
PL,Mammalia,987.615
PT,Mammalia,319
QA,Mammalia,14
RO,Mammalia,1
RS,Mammalia,1
SE,Mammalia,192
SG,Mammalia,39
SI,Mammalia,11
SK,Mammalia,5
TN,Mammalia,6
TR,Mammalia,5
UG,Mammalia,31.86
US,Mammalia,1955
UY,Mammalia,138
UZ,Mammalia,15
VE,Mammalia,87
ZM,Mammalia,110
ZW,Mammalia,239
AE,Reptilia,10
AT,Reptilia,8
BE,Reptilia,1
BM,Reptilia,706
BS,Reptilia,2253
CN,Reptilia,24
CU,Reptilia,8
DE,Reptilia,95
DK,Reptilia,5
DO,Reptilia,10
ES,Reptilia,90
FR,Reptilia,3273.5
GB,Reptilia,113
GG,Reptilia,2
HK,Reptilia,45518.07
IN,Reptilia,139
IT,Reptilia,2068
JE,Reptilia,2
JP,Reptilia,2094.3
KH,Reptilia,45746
KY,Reptilia,2947
MC,Reptilia,337
MG,Reptilia,1232
MO,Reptilia,1
MY,Reptilia,18732
NL,Reptilia,3
NZ,Reptilia,1
OM,Reptilia,136
PH,Reptilia,7162
RO,Reptilia,6
SG,Reptilia,45047.05
SK,Reptilia,4
SV,Reptilia,2539
TR,Reptilia,160
UG,Reptilia,3
US,Reptilia,44
UY,Reptilia,150