Importer,Exporter,total
KR,IT,16
KR,IT,8
KR,JP,827
KR,JP,32
KR,SG,104
KR,SG,774
MG,FR,2
MG,FR,2
MO,FR,2
MO,FR,4
MX,IT,254
MX,IT,1
NL,TH,50
NL,VN,189
NL,VN,4
NZ,TH,1
NZ,TH,1
QA,IT,44
RU,FR,3
RU,FR,16
RU,IT,2
RU,IT,1
RU,IT,2
RU,IT,523
RU,IT,5
RU,IT,1
RU,IT,68
SA,IT,6
SG,CN,1
SG,CN,1
SG,FR,1
SG,FR,10
SG,HK,56740
SG,HK,74
SG,HK,2
SG,MY,436
SG,RO,2
SG,TH,32000
SG,TH,1
SG,TH,4300
SG,VN,300
SG,VN,3420
SG,XX,120
TH,AE,8
TH,FR,1
TH,HK,16889.07
TH,JP,92
TH,JP,410
TH,KH,40000
TH,KH,5700
TH,SG,41
TH,SG,654
TH,SG,6544
TM,FR,3
TR,FR,3
TR,FR,3
TR,FR,24
TR,FR,400
TR,FR,32
TR,FR,26
TR,FR,8
TR,IT,8
TR,SG,6
TW,IT,1
TW,IT,9
TW,SG,10
TW,SG,13
UA,IT,52
US,HK,600
US,HK,600
US,IT,4
US,IT,2
US,KH,2
US,KH,8
US,KH,65
US,KH,3
US,RO,2
US,TH,1
US,TH,2
US,TH,1
US,TH,1
US,TH,1
US,TR,2
US,TR,3
US,VN,1
US,VN,2
UZ,FR,1
UZ,IT,3
VN,JP,540
XX,IT,10
XX,IT,1
XX,IT,7
XX,IT,3
ID,SK,4
US,CD,1
US,NG,1
BD,MY,6
GB,MY,6
US,MY,4
GB,US,2
US,HK,2
US,KH,3974.4
CN,SG,2
CN,SG,4
CN,SG,4
CN,GB,1
US,CA,51
US,KN,6
US,NI,1
FR,AU,1.2
FR,FR,2.9
AE,DK,1
AE,FR,3
AE,GB,1
AR,CU,106.5
AT,CH,1
AT,HU,1
AT,JP,1
AT,KR,2
AT,LI,1
AT,LI,1
AU,GB,1
AU,GB,13
AU,GB,154
AU,IE,2
AU,JP,1
BE,CH,2
CA,FR,1
CA,GB,7
CA,IE,19
CH,AT,1
CH,BE,3.05
CH,DE,5
CH,DE,2
CH,DE,1
CH,DK,52
CH,FR,50
CH,FR,5
CH,GB,1
CH,GB,1
CH,IT,2
CH,PL,156
CH,US,1
CL,ES,2
CL,GB,1
CL,HU,1
CL,HU,1
CN,DE,8
CN,DK,0.7
CN,DK,1
CN,ES,1
CN,FR,1
CN,FR,2
CN,FR,8
CN,GB,22
CN,HU,2
CN,IE,1
CN,IT,1
CN,IT,4
CN,PH,32
CN,PH,1
CN,PL,50
CN,PT,19
CN,US,1
CN,ZA,5
CO,ES,1
CU,ES,1
CU,ES,8
CU,ES,18.194
CZ,CH,1
CZ,US,5
DE,CA,1
DE,CH,14
DE,CH,3
DE,CH,8
DE,NO,74
DE,NO,2
DE,US,1
ES,CU,81.7
ES,CU,1
FR,CH,1
FR,CH,131.33
FR,CH,2
FR,CN,7
FR,FR,15
FR,HK,6
FR,US,3
GB,BS,4
GB,CA,112
GB,CA,34
GB,CH,1
GB,CH,22
GB,CN,3
GB,JP,74
GB,NZ,60
GB,SG,1
GB,ZA,1
GG,GB,1
HK,AT,1
HK,AT,1
HK,BE,11.24
HK,BE,33
HK,CH,1
HK,CH,2
HK,DK,3
HK,ES,6.7
HK,ES,5
HK,ES,74
HK,FR,3
HK,FR,17
HK,GB,24
HK,IE,1
HK,PT,1
HK,PT,32
HK,SE,2
HK,SE,2
HU,CH,1
IE,CH,1
IE,NZ,2
IL,CU,222.8
IS,GB,50
IT,CA,64
IT,MC,1
IT,SG,2
IT,US,1
JP,FR,2
JP,FR,208
JP,GB,94
JP,GR,2
JP,IT,1
JP,NL,2
JP,PL,52
JP,US,1
KY,GB,1
LB,US,3
LI,AT,1
LI,AT,7
MC,FR,1
MO,PT,1
MX,CU,1634.5
MX,CU,0.345
MX,ES,1
MX,ES,2
MX,GB,1
MX,GB,50
MX,PT,1
MX,US,4
NL,RU,12
NL,US,1
NL,US,1
NL,US,2
NO,DE,36
NO,DE,1
NO,DK,5
NO,DK,1
NO,DK,1.1
NO,DK,3
NO,DK,12
NO,NL,1
NO,PL,360
NO,SE,2
NZ,FR,1
NZ,FR,78.5
NZ,GB,29
NZ,GB,4
NZ,HU,1
NZ,IE,52
NZ,ZA,52
PE,BE,1
PH,SG,3
PH,SG,5
PL,CH,1
PL,CH,2
PL,NO,15
PL,NO,1
PT,SG,20
RU,GB,2
RU,JP,4
SE,NO,1
SE,NO,1
SG,FR,1.5
SG,GB,1
SG,GB,12
SG,HK,1
SG,PH,3
SG,PH,5
SG,PT,22
SG,PT,2
TW,GB,4
TW,JP,83
US,AR,24
US,AU,52
US,BE,1
US,BH,1
US,CA,10
US,CA,2
US,CA,49
US,CA,10
US,CA,104
US,CA,8
US,CN,16
US,CN,5
US,CN,2
US,CZ,5
US,ET,3
US,ET,1
US,FR,77
US,FR,1
US,FR,3
US,FR,3
US,GB,21
US,GB,1
US,GB,1
US,GB,9
US,GB,7
US,GB,1
US,GB,57
US,GB,1
US,GB,106
US,GB,50
US,GB,11
US,ID,3
US,IT,1
US,JP,5
US,JP,2
US,JP,1
US,KE,1
US,LA,130
US,LA,1
US,MX,1
US,MX,15
US,NL,1
US,NL,11
US,NL,52
US,NL,2
US,NL,52
US,NL,2
US,PL,0.615
US,PL,7
US,RS,1
US,RS,52
US,SL,1
US,TH,2
US,TH,2
US,TH,4
US,TH,1
US,TH,484
US,TH,300
US,TH,7
US,TR,4
US,TW,1
US,VN,10
US,VN,16
US,VN,1
US,XX,2
US,XX,4
US,XX,3
US,ZA,88
XX,DE,17
XX,DE,2
XX,GB,2
XX,GB,1
XX,IE,31
XX,PL,52
AT,US,5
AT,US,3
AU,GB,1
AU,GB,11
AU,KH,1
AU,NL,1
AU,NZ,1
AZ,GE,1
BE,SG,1
CA,FR,1
CA,FR,1
CA,GB,1
CA,US,1
CH,AT,1
CH,AT,1
CH,DE,2
CH,FR,1
CH,GB,6
CL,CN,2
CL,CN,2
CL,PE,6
CN,CL,2
CN,FR,4
CN,GB,1
CN,GB,1
CN,GB,170
CN,KR,5
CN,LA,50
DE,CH,2
DE,NZ,1
FR,CA,1
FR,CH,1
FR,KR,1
FR,SG,1
GB,CA,128
GB,CH,3
GB,GG,29
GB,MM,1790
GB,SG,5
GB,SG,1
GB,US,1
GE,DE,1
GE,UA,1
GR,US,5
HK,AT,2
HK,BE,4
HK,FR,1
HK,FR,1
HK,FR,20.5
HK,GB,433
HK,GB,1
HK,IT,2
IE,US,2
IL,BE,1
IT,US,1
IT,US,3
JP,CN,1
JP,DE,5
JP,GB,2
JP,US,1
KP,CN,2
KR,CN,5
KR,FR,1
KR,GB,1
KR,JP,34
KY,GB,64
MY,GB,1
MY,GB,2
NL,CH,1
NO,DE,2
NO,DK,3
NZ,GB,1
NZ,GB,1
PK,LK,1
PT,ZA,1
RU,GB,1
RU,UZ,2
SG,AU,1
SG,BE,1
SG,FR,1
SG,FR,1.5
SG,GB,35
SG,GB,33
TR,GB,1
TW,GB,36
TW,US,1
UA,BY,1
US,AR,1
US,AT,2
US,BM,2
US,CN,3
US,DK,1
US,GB,1
US,GB,16
US,GB,1
US,GB,5
US,GR,1
US,IT,2
US,KW,2
US,KW,2
US,LA,1
US,LA,96
US,NL,1
US,TH,1
US,TH,1
US,TH,1
US,TW,8
US,UA,50
US,VN,1
US,VN,1
US,VN,1
US,VN,1
UZ,RU,2
XX,DE,2
XX,DE,2
XX,DE,1
XX,IT,1
XX,IT,1
AE,GB,3
AE,GB,50
AE,UG,5
AR,MZ,2
AR,ZA,2
AR,ZA,2
AT,US,17
AT,ZM,8
AT,ZM,4
AU,ES,2
AU,FR,6
AU,GB,36
AU,GB,52
AU,NZ,1
AU,NZ,94
AU,US,6
AU,US,52
AU,UY,25
BA,US,1
BE,AD,2.95
BE,CH,1
BE,US,2
BE,ZA,8
BM,US,1
BW,DK,2
CA,FR,5.349
CA,FR,37
CA,FR,54
CA,GB,3
CA,GB,104
CA,US,1
CA,US,52
CH,AT,2
CH,AT,52
CH,AT,2
CH,BE,1
CH,BE,2
CH,DE,1
CH,DE,3
CH,DE,0.4
CH,DE,18
CH,DE,6
CH,DE,25
CH,DE,0.464
CH,DK,1
CH,FR,1
CH,FR,4
CH,FR,3
CH,FR,1
CH,FR,5
CH,FR,106
CH,FR,264
CH,FR,1
CH,GB,1
CH,GB,26
CH,IT,1
CH,IT,1
CH,IT,1
CH,SG,1
CH,US,1
CH,US,41
CL,AR,1
CN,DE,15
CN,DE,6
CN,FR,7.1
CN,FR,3
CN,FR,8.5
CN,FR,268
CN,GB,1
CN,GB,1
CN,GB,172
CN,GB,444
CN,PT,1
CN,PT,1
CN,SI,1
CN,US,26
CN,US,416
CN,US,30
CN,UY,6
CN,ZA,4
DE,CD,1
DE,CH,3
DE,CH,1
DE,CH,9
DE,CH,1
DE,CI,350
DE,CI,2
DE,US,105
DE,US,1
DE,VE,52
DK,KE,2
DK,NA,3
DK,NO,3
DK,ZM,1
DK,ZW,7
EG,AE,1
ES,US,1
ES,VE,1
ET,AE,4
ET,AE,1
FI,NZ,9
FI,US,28
FR,CA,26
FR,CH,1
FR,CH,1
FR,CH,19.5
FR,CH,52
FR,JP,177
FR,KR,3
FR,MX,19
FR,RU,15
FR,SG,14
FR,US,52
FR,US,1
FR,US,2
FR,US,52
FR,US,5
FR,ZA,1
GB,AU,14
GB,AU,2
GB,AU,52
GB,CH,1
GB,CH,1
GB,CN,5
GB,GG,9
GB,HK,5
GB,JE,1
GB,JP,0.5
GB,JP,17
GB,KE,0.4
GB,KE,50
GB,NZ,29
GB,NZ,52
GB,SG,6
GB,TR,1
GB,TR,1
GB,US,111
GB,US,20
GB,US,18
GB,US,12
GB,US,2
GB,UY,110
GB,UY,111
GB,VE,1
GB,ZA,5
GB,ZA,1
GL,DK,3
HK,AT,1
HK,AT,52
HK,BE,6
HK,BE,4
HK,BE,115.46
HK,BE,3
HK,BE,100
HK,BE,24
HK,BE,15
HK,BE,2.7
HK,BE,49
HK,BE,3.8
HK,BE,2
HK,BE,10
HK,BE,19
HK,BE,7.82
HK,BE,26
HK,BE,1
HK,BE,1
HK,BE,5
HK,BE,4
HK,BE,2
HK,BE,4
HK,BE,36
HK,BE,16
HK,BE,2.7
HK,BE,97
HK,BE,4
HK,CA,6
HK,CH,3
HK,DE,15
HK,ES,15.8
HK,ES,1
HK,ES,24
HK,ES,10
HK,ES,4
HK,ES,4
HK,ES,8
HK,ES,6
HK,ES,8
HK,ES,4
HK,ES,4
HK,ES,50
HK,FR,108
HK,GB,225
HK,LT,2
HK,LT,2
HK,PT,2
HK,PT,2
HK,PT,2
HK,PT,46
HK,PT,6
HK,PT,102
HK,SI,8
HK,SI,4
HK,SI,8
HK,US,66
HK,US,1
HK,US,2
HK,US,52
HK,ZA,2
HU,MC,1
HU,MC,1
HU,MC,3
IN,GB,7
IN,RU,1
IT,MZ,1
IT,US,2
IT,US,1
IT,ZM,2
IT,ZM,2
JO,AE,2
JO,AE,1
JP,BE,0.4
JP,BE,1
JP,DE,4
JP,DE,11
JP,DE,1
JP,DE,0.4
JP,DE,1
JP,DE,1
JP,DE,99
JP,DE,2
JP,FR,177.5
JP,FR,2
JP,GB,2
JP,GB,1
JP,GB,17
JP,GB,13
JP,GB,43
JP,GB,47
JP,GB,3
JP,IT,16
JP,PL,1
JP,PL,52
JP,PL,2
JP,PL,260
JP,RO,2
JP,US,1
JP,US,115
KE,NL,4.336
KE,NL,4.33
KH,DE,1
KR,DE,1
KR,DK,0.716
KR,FR,4
KR,US,52
KR,US,52
KR,US,26
LB,DE,1
LB,UY,1
MC,CH,1
MC,DE,2
MC,DE,2
MC,DE,6
MC,UY,3
MC,UY,1
MX,ES,2
MX,FR,5
MX,GB,2668
MX,US,1
MY,AT,2
MY,AT,0.002
MY,GB,21
MY,GB,1
NL,AU,5
NL,US,48
NL,ZA,2
NL,ZA,2
NL,ZA,1
NL,ZA,2
NO,GB,2
NO,GB,104
NO,GB,1
NO,IT,2
NO,US,2
NZ,DE,1
NZ,DE,52
NZ,FR,10
NZ,FR,13
NZ,FR,2
NZ,GB,2
NZ,GB,3
NZ,GB,52
NZ,GB,2
NZ,HK,0.001
NZ,HK,0.0023
NZ,US,52
NZ,ZA,6
NZ,ZA,1
NZ,ZA,6
NZ,ZA,2
OM,GB,1
PE,DE,1
PE,MZ,12
PG,NZ,39
PH,ES,3
PH,FR,2
PH,HK,1
PH,HK,52
PL,US,4
PL,ZM,5
PT,AD,1
PT,US,2
PT,US,2
RU,AT,2
RU,DE,2
RU,FR,3.1
RU,FR,2
RU,FR,15
RU,GB,2
RU,GR,2
RU,IN,1
SE,NO,12
SE,US,52
SE,ZA,1
SG,CH,1
SG,FR,1
SG,GB,45
SG,GB,11
TH,GB,150
TW,DE,1
TW,GB,2
TW,US,33
TZ,US,20
UA,FR,2
UG,AE,5
UG,AE,4
UG,AE,1
US,AR,52
US,AR,52
US,AT,2
US,AT,1
US,BE,1
US,BE,0.208
US,BE,1
US,BE,2
US,BE,52
US,BE,2
US,BM,1
US,CA,2
US,CA,52
US,CA,12
US,CD,1
US,CH,6
US,CH,1
US,CH,17
US,CH,1
US,CM,154
US,CM,1
US,CN,1
US,CN,27
US,CN,26
US,CZ,6
US,DE,15
US,DE,1
US,DE,68
US,DE,2
US,DE,260
US,DE,52
US,DK,28
US,DK,36
US,ES,9
US,ES,1
US,FR,24
US,FR,2
US,FR,1
US,FR,3
US,FR,1
US,FR,1
US,FR,1
US,FR,104
US,FR,6
US,FR,1
US,GB,6
US,GB,6
US,GB,2
US,GB,3
US,GB,104
US,GB,478
US,GB,12
US,GB,2
US,GB,16
US,GB,1
US,IE,1
US,JP,3
US,JP,146.5
US,KE,1
US,KE,5.07
US,KE,2
US,KR,33
US,LU,48
US,MX,1
US,MX,15
US,MZ,50
US,NA,4
US,NA,2
US,NG,1
US,NG,1
US,NG,6
US,NG,3
US,NG,1
US,NL,52
US,NL,2
US,NO,1
US,NO,1
US,NZ,192
US,PL,4
US,SA,6
US,SD,155
US,SZ,17
US,TR,3
US,UG,1
US,UG,1
US,UG,0.5
US,UG,4.86
US,UG,1
US,VN,100
US,XX,1
US,ZA,2
US,ZA,52
US,ZA,22
US,ZA,3
US,ZA,52
US,ZA,1
US,ZM,4
US,ZW,2
US,ZW,8
US,ZW,11
US,ZW,2
US,ZW,26
UY,AR,52
VN,AT,2
VN,DE,1
VN,GB,6
XX,DE,8
XX,DE,6
XX,GB,2
XX,GB,2
XX,ZM,7
ZA,GB,2
ZA,IT,1
ZA,US,1
ZW,ZM,7
CL,FR,2
FR,CH,1
MX,PL,1
MX,US,10
AT,MN,16
AT,MN,42
AT,RU,6
AT,RU,6
CZ,MN,14
MN,CZ,1
MN,CZ,3
MN,CZ,4
RU,HU,19
AT,US,2
AT,US,2
GB,US,5
US,RU,10
US,RU,30
US,RU,10
DE,ZA,100
JP,ES,7
CA,ES,1
DE,ZA,195
JP,ZA,2
JP,ZA,1
KR,US,12
CA,US,25
JP,ZA,2
KR,US,46
FR,MG,1
KR,US,54
US,TH,73
DE,ZA,100
GB,MG,1
CZ,TH,50
US,ID,1
US,TH,1
AE,ES,1
AE,ES,328
BH,ES,23
SA,ES,1
AE,AT,3
AE,AT,11
AE,AT,11
AE,AT,692
AE,AT,51
AE,BE,11
AE,BE,10
AE,BH,2
AE,CA,18
AE,CA,4
AE,CZ,9
AE,CZ,13
AE,CZ,4
AE,CZ,93
AE,CZ,26
AE,CZ,92
AE,CZ,26
AE,DE,73
AE,DE,33
AE,DE,99
AE,DE,25
AE,DK,10
AE,ES,3
AE,ES,8
AE,ES,3
AE,ES,1
AE,ES,1
AE,ES,846
AE,ES,1720
AE,FR,30
AE,FR,30
AE,GB,1
AE,GB,1094
AE,GB,273
AE,GB,1030
AE,GB,280
AE,GB,4
AE,IE,32
AE,IE,33
AE,IT,2
AE,KW,1
AE,KW,1
AE,KW,1
AE,KW,2
AE,KZ,4
AE,MA,2
AE,MA,8
AE,MA,39
AE,RS,87
AE,SI,8
AE,SI,8
AE,US,9
AE,US,55
AE,US,62
AT,AE,1
AT,AE,1
AT,AE,1
AT,AE,1
AT,AE,2
AT,AE,1
AT,AE,3
AT,AE,4
BH,AE,1
BH,AE,1
BH,AE,4
BH,AT,1
BH,DE,23
BH,ES,2
BH,ES,22
BH,GB,49
BH,PT,3
BH,US,4
CA,US,1
CH,DE,1
ES,AE,2
ES,AE,5
ES,AE,1
ES,AE,3
ES,AE,3
ES,AE,1
ES,AE,10
GB,AE,3
GB,AE,2
GB,AE,14
GB,KW,2
GB,KW,4
GE,AE,13
GE,AE,2
GE,KW,3
GE,KW,1
GI,ES,1
IQ,KW,1
IR,KW,2
IR,KW,2
IR,KW,3
JO,KW,1
JP,GB,5
JP,GB,10
KW,AE,6
KW,AE,1
KW,AE,7
KW,AE,2
KW,AE,48
KW,AE,5
KW,AE,37
KW,AE,16
KW,AE,1
KW,AE,2
KW,AE,1
KW,AE,1
KW,AE,1
KW,AT,7
KW,BE,2
KW,BE,26
KW,CZ,13
KW,ES,13
KW,GB,12
KW,GB,19
KZ,AE,5
KZ,AE,1
KZ,AE,16
KZ,AE,1
KZ,AE,21
KZ,AE,21
KZ,AE,1
KZ,AE,22
KZ,AR,3
KZ,AR,1
KZ,AR,8
KZ,DE,3
KZ,DE,3
KZ,SA,2
KZ,SA,3
MA,KW,2
MA,KW,1
MA,KW,1
MA,KW,1
MA,KW,1
MX,ES,1
PK,AE,3
PK,AE,2
PK,KW,1
PK,KW,1
QA,AE,1
QA,AE,2
QA,AE,1
QA,AE,2
QA,AE,1
QA,AE,1
QA,GB,16
QA,US,60
RS,AE,7
SA,AE,1
SA,AE,1
SA,AE,1
SA,AE,3
SA,CZ,43
SA,DE,1
SA,DE,2
SA,ES,60
SA,KZ,2
SA,KZ,3
SA,US,2
TN,KW,4
US,CA,1
UZ,AE,5
UZ,AE,2
UZ,AE,10
UZ,AE,3
UZ,AE,63
UZ,AE,15
UZ,AE,1
UZ,AE,2
UZ,AE,8
XX,DE,1
AE,DE,1
AE,DE,1
AE,ES,1
AE,ES,1
AE,AT,1
AE,CZ,1
AE,CZ,2
AE,CZ,1
AE,ES,1
AE,ES,1
GB,AE,108
GB,QA,1
GI,ES,2
JP,GB,4
SA,ES,2
XX,ES,1
AE,AT,1
AE,ES,1
AE,AT,10
AE,AT,25
AE,AT,6
AE,AT,2
AE,AT,64
AE,AT,2
AE,BE,3
AE,BE,3
AE,BG,1
AE,BG,1
AE,BG,1
AE,CA,14
AE,CA,1
AE,CZ,1
AE,CZ,4
AE,CZ,16
AE,CZ,20
AE,DE,5
AE,DE,1
AE,DE,4
AE,DE,7
AE,DE,130
AE,DE,24
AE,DE,140
AE,DE,24
AE,DK,1
AE,DK,2
AE,DK,1
AE,DK,22
AE,DK,23
AE,DK,1
AE,ES,1
AE,ES,2
AE,ES,2
AE,ES,1
AE,ES,109
AE,ES,129
AE,GB,1
AE,GB,1
AE,GB,4
AE,GB,2
AE,GB,4
AE,GB,3
AE,GB,1
AE,GB,1
AE,GB,119
AE,GB,116
AE,IE,5
AE,IE,7
AE,IT,1
AE,JO,10
AE,KZ,1
AE,NL,16
AE,NL,21
AE,OM,1
AE,RS,1
AE,RS,18
AE,RS,26
AE,SI,7
AE,SI,4
AE,SI,6
AE,US,9
AE,US,7
AE,ZA,2
AM,AE,11
AT,AE,4
AT,AE,6
AT,AE,2
AT,CH,1
BH,AT,2
BH,CZ,5
BH,DE,52
BH,ES,10
BH,IT,5
CH,BE,1
CH,DE,1
CH,DE,1
CH,IT,2
CZ,AE,3
DE,CH,3
ES,AE,2
ES,AE,3
ES,AE,1
ES,AE,2
ES,AE,2
ES,AE,5
ES,PE,10
ES,QA,4
ES,QA,4
ES,US,10
GB,AE,210
GB,JE,1
GB,QA,3
GB,QA,7
GI,ES,2
IT,CH,1
JE,GB,1
JP,CA,4
JP,GB,3
JP,GB,10
KW,AE,1
KW,AE,2
KW,BE,2
KW,DE,1
KW,DE,3
KZ,AE,1
KZ,AE,4
KZ,AE,5
KZ,AE,1
KZ,AE,21
KZ,AR,4
KZ,AR,1
KZ,AR,22
MX,ES,2
QA,AE,5
QA,AE,7
QA,AE,2
QA,AE,4
QA,AE,8
QA,AE,19
QA,AE,1
QA,AE,2
QA,AE,1
QA,AE,26
QA,AE,4
QA,AM,4
QA,AT,1
QA,AT,10
QA,AT,3
QA,AT,6
QA,AT,16
QA,BE,2
QA,BE,4
QA,BH,1
QA,BH,9
QA,BH,3
QA,BH,1
QA,CZ,49
QA,CZ,1
QA,DE,10
QA,DE,58
QA,ES,22
QA,ES,14
QA,ES,88
QA,GB,3
QA,GB,52
QA,GB,18
QA,IT,24
QA,NL,2
QA,NL,1
QA,NL,36
QA,NL,25
QA,PT,15
QA,RU,10
QA,SK,2
QA,SK,1
QA,SK,4
QA,SK,3
QA,US,4
SA,ES,4
SI,AE,1
TN,KW,2
TR,DE,6
TW,BE,1
TW,US,2
US,AE,3
US,AE,2
US,CA,1
US,DE,1
UZ,AE,2
XV,RS,2
XX,DE,1
XX,DE,1
ZA,DE,4
AE,US,2
CA,US,1
US,CA,3
AE,AT,11
AE,AT,2
AE,ES,1
AE,IT,1
AT,CH,1
QA,AT,2
QA,PT,3
GB,MU,78
AE,AT,4
AE,AT,2
AE,AT,167
AE,AT,12
AE,BE,1
AE,BE,1
AE,BE,2
AE,CA,1
AE,CA,38
AE,CA,102
AE,CA,7
AE,CA,4
AE,CZ,12
AE,CZ,13
AE,CZ,4
AE,CZ,25
AE,CZ,23
AE,CZ,3
AE,DE,2
AE,DE,1
AE,DE,2
AE,DE,121
AE,DE,92
AE,DE,326
AE,DE,47
AE,DK,17
AE,DK,1
AE,DK,127
AE,ES,1
AE,ES,2
AE,ES,57
AE,ES,272
AE,FR,2
AE,FR,2
AE,FR,45
AE,FR,45
AE,GB,6
AE,GB,2
AE,GB,1
AE,GB,1
AE,GB,403
AE,GB,98
AE,GB,368
AE,GB,141
AE,IE,11
AE,IE,15
AE,IT,1
AE,KW,1
AE,KZ,2
AE,MA,5
AE,MA,5
AE,MA,53
AE,NL,4
AE,NL,22
AE,SI,5
AE,SI,5
AE,US,13
AE,US,236
AE,US,236
AE,ZA,4
AE,ZA,1
AM,AE,8
AT,AE,5
AT,AE,4
AT,AE,10
AT,AE,3
AT,AE,3
AT,AE,4
AT,AE,4
AT,AE,11
AT,AE,1
AT,AE,7
AT,AE,7
AT,AE,1
AT,AE,2
AT,AE,6
AT,AE,14
AT,AE,1
AT,AE,2
AT,AE,1
AT,AE,2
AT,AE,1
AT,AE,2
AT,AE,1
AT,AE,8
AT,AE,1
AT,CA,2
BE,CH,2
BH,AE,6
BH,AE,1
BH,DE,2
BH,ES,1
BH,GB,20
BH,IT,8
BH,NL,37
BH,US,1
CA,AT,1
CA,AT,2
CA,DE,1
CA,SI,1
CA,US,18
CN,RU,7.5
CZ,AE,2
CZ,AE,1
CZ,AE,3
CZ,AE,4
CZ,AE,2
CZ,AE,8
CZ,AE,1
CZ,AE,1
CZ,CA,2
CZ,US,2
DE,AE,4
DE,AE,2
DE,AE,4
DE,AE,1
DE,AE,2
DE,AE,10
DE,AE,2
DE,AE,6
DE,AE,2
DE,AE,4
DE,AE,16
DE,AE,3
DE,AE,4
DE,AE,1
DE,AE,3
DE,AE,1
DE,AE,1
DE,AE,21
DE,AE,15
DE,AE,2
DE,CH,1
ES,AE,5
ES,AE,1
ES,AE,1
ES,AE,9
ES,AE,3
ES,AE,1
ES,AE,6
ES,AE,3
ES,AE,1
ES,AE,3
ES,AE,2
ES,AE,2
ES,AE,4
ES,AE,1
ES,AE,11
ES,AE,3
ES,AE,3
ES,AE,3
ES,AE,1
ES,AE,1
ES,AE,2
ES,AE,39
ES,AE,6
